Product_ID,Product_Name,Forecasted_Qty,Material_ID,Material_Name,Material_Required_Qty,Create_Datetime
P0001,Salted Potato Chips,5000,M002,Salt,1000,12-06-25 19:14:47
P0001,Salted Potato Chips,5000,M019,Paprika Extract,200,18-06-25 19:14:47
P0001,Salted Potato Chips,5000,M013,Onion Powder,500,10-06-25 19:14:47
P0002,Cheese Nachos,100,M007,Vegetable Oil,1000,19-06-25 19:14:47
P0002,Cheese Nachos,100,M011,Cheddar Cheese,1000,31-05-25 19:14:47
P0002,Cheese Nachos,100,M013,Onion Powder,1000,16-06-25 19:14:47
P0003,Barbecue Corn Chips,2000,M002,Salt,100,06-06-25 19:14:47
P0003,Barbecue Corn Chips,2000,M020,Natural Flavors,100,09-06-25 19:14:47
P0003,Barbecue Corn Chips,2000,M005,Potatoes,500,14-06-25 19:14:47
P0004,Sweet Corn Puffs,2000,M002,Salt,2000,19-06-25 19:14:47
P0004,Sweet Corn Puffs,2000,M009,Palm Oil,200,06-06-25 19:14:47
P0004,Sweet Corn Puffs,2000,M006,Corn,100,15-06-25 19:14:47
P0005,Sour Cream Crisps,1000,M007,Vegetable Oil,1000,26-05-25 19:14:47
P0005,Sour Cream Crisps,1000,M013,Onion Powder,1000,15-06-25 19:14:47
P0005,Sour Cream Crisps,1000,M008,Sunflower Oil,500,03-06-25 19:14:47
P0006,Tomato Flavored Chips,500,M007,Vegetable Oil,2000,20-06-25 19:14:47
P0006,Tomato Flavored Chips,500,M011,Cheddar Cheese,1000,07-06-25 19:14:47
P0006,Tomato Flavored Chips,500,M013,Onion Powder,500,22-06-25 19:14:47
P0007,Classic Salted Wafers,1000,M007,Vegetable Oil,500,09-06-25 19:14:47
P0007,Classic Salted Wafers,1000,M019,Paprika Extract,2000,11-06-25 19:14:47
P0007,Classic Salted Wafers,1000,M005,Potatoes,100,16-06-25 19:14:47
P0008,Masala Potato Chips,100,M008,Sunflower Oil,200,29-05-25 19:14:47
P0008,Masala Potato Chips,100,M011,Cheddar Cheese,100,31-05-25 19:14:47
P0008,Masala Potato Chips,100,M005,Potatoes,1000,02-06-25 19:14:47
P0009,Honey Barbecue Chips,200,M008,Sunflower Oil,100,11-06-25 19:14:47
P0009,Honey Barbecue Chips,200,M005,Potatoes,2000,26-05-25 19:14:47
P0009,Honey Barbecue Chips,200,M014,Garlic Powder,100,06-06-25 19:14:47
P0010,Spicy Tortilla Chips,5000,M020,Natural Flavors,500,05-06-25 19:14:47
P0010,Spicy Tortilla Chips,5000,M013,Onion Powder,2000,01-06-25 19:14:47
P0010,Spicy Tortilla Chips,5000,M007,Vegetable Oil,100,22-06-25 19:14:47
P0011,Cheese Balls,1000,M006,Corn,500,13-06-25 19:14:47
P0011,Cheese Balls,1000,M003,Citric Acid,200,26-05-25 19:14:47
P0011,Cheese Balls,1000,M020,Natural Flavors,200,18-06-25 19:14:47
P0012,Chocolate Milk Drink,200,M042,Acetic Acid,1000,17-06-25 19:14:47
P0012,Chocolate Milk Drink,200,M003,Citric Acid,200,09-06-25 19:14:47
P0012,Chocolate Milk Drink,200,M037,Caramel Color,2000,02-06-25 19:14:47
P0013,Vanilla Protein Shake,2000,M033,Vanillin,500,21-06-25 19:14:47
P0013,Vanilla Protein Shake,2000,M025,Soy Lecithin,200,09-06-25 19:14:47
P0013,Vanilla Protein Shake,2000,M010,Whey Protein,1000,26-05-25 19:14:47
P0014,Energy Drink - Citrus,2000,M020,Natural Flavors,1000,30-05-25 19:14:47
P0014,Energy Drink - Citrus,2000,M042,Acetic Acid,200,13-06-25 19:14:47
P0014,Energy Drink - Citrus,2000,M037,Caramel Color,100,17-06-25 19:14:47
P0015,Fruit Punch Juice,500,M003,Citric Acid,1000,31-05-25 19:14:47
P0015,Fruit Punch Juice,500,M020,Natural Flavors,2000,26-05-25 19:14:47
P0015,Fruit Punch Juice,500,M033,Vanillin,500,19-06-25 19:14:47
P0016,Cola Beverage,5000,M020,Natural Flavors,2000,30-05-25 19:14:47
P0016,Cola Beverage,5000,M033,Vanillin,100,02-06-25 19:14:47
P0016,Cola Beverage,5000,M037,Caramel Color,200,21-06-25 19:14:47
P0017,Lemon Soda,2000,M042,Acetic Acid,200,07-06-25 19:14:47
P0017,Lemon Soda,2000,M037,Caramel Color,1000,26-05-25 19:14:47
P0017,Lemon Soda,2000,M003,Citric Acid,1000,19-06-25 19:14:47
P0018,Orange Soft Drink,200,M020,Natural Flavors,500,31-05-25 19:14:47
P0018,Orange Soft Drink,200,M033,Vanillin,2000,14-06-25 19:14:47
P0018,Orange Soft Drink,200,M024,Ascorbic Acid,100,12-06-25 19:14:47
P0019,Iced Tea - Peach,200,M001,Sugar,1000,30-05-25 19:14:47
P0019,Iced Tea - Peach,200,M033,Vanillin,2000,01-06-25 19:14:47
P0019,Iced Tea - Peach,200,M003,Citric Acid,1000,06-06-25 19:14:47
P0020,Coffee Can Drink,200,M042,Acetic Acid,100,14-06-25 19:14:47
P0020,Coffee Can Drink,200,M020,Natural Flavors,200,29-05-25 19:14:47
P0020,Coffee Can Drink,200,M001,Sugar,100,27-05-25 19:14:47
P0021,Chocolate Chip Cookies,200,M002,Salt,500,03-06-25 19:14:47
P0021,Chocolate Chip Cookies,200,M011,Cheddar Cheese,500,09-06-25 19:14:47
P0021,Chocolate Chip Cookies,200,M019,Paprika Extract,200,19-06-25 19:14:47
P0022,Cheese Crackers,5000,M001,Sugar,2000,28-05-25 19:14:47
P0022,Cheese Crackers,5000,M038,Baking Powder,2000,14-06-25 19:14:47
P0022,Cheese Crackers,5000,M002,Salt,200,19-06-25 19:14:47
P0023,Butter Popcorn,200,M027,Milk Solids,500,28-05-25 19:14:47
P0023,Butter Popcorn,200,M001,Sugar,500,27-05-25 19:14:47
P0023,Butter Popcorn,200,M025,Soy Lecithin,200,13-06-25 19:14:47
P0024,Salted Peanuts,100,M007,Vegetable Oil,1000,11-06-25 19:14:47
P0024,Salted Peanuts,100,M002,Salt,1000,11-06-25 19:14:47
P0024,Salted Peanuts,100,M015,Maltodextrin,200,02-06-25 19:14:47
P0025,Roasted Almonds,2000,M019,Paprika Extract,200,19-06-25 19:14:47
P0025,Roasted Almonds,2000,M007,Vegetable Oil,2000,20-06-25 19:14:47
P0025,Roasted Almonds,2000,M015,Maltodextrin,2000,04-06-25 19:14:47
P0026,Snack Mix - Trail,1000,M003,Citric Acid,1000,15-06-25 19:14:47
P0026,Snack Mix - Trail,1000,M009,Palm Oil,200,20-06-25 19:14:47
P0026,Snack Mix - Trail,1000,M006,Corn,200,01-06-25 19:14:47
P0027,Milkshake - Strawberry,500,M025,Soy Lecithin,2000,25-05-25 19:14:47
P0027,Milkshake - Strawberry,500,M033,Vanillin,100,20-06-25 19:14:47
P0027,Milkshake - Strawberry,500,M027,Milk Solids,200,31-05-25 19:14:47
P0028,Mint Flavored Soda,5000,M033,Vanillin,200,20-06-25 19:14:47
P0028,Mint Flavored Soda,5000,M003,Citric Acid,200,25-05-25 19:14:47
P0028,Mint Flavored Soda,5000,M037,Caramel Color,1000,01-06-25 19:14:47
P0029,Energy Bar - Peanut,2000,M028,Skimmed Milk Powder,1000,21-06-25 19:14:47
P0029,Energy Bar - Peanut,2000,M010,Whey Protein,200,09-06-25 19:14:47
P0029,Energy Bar - Peanut,2000,M016,Dextrose,500,21-06-25 19:14:47
P0030,Whey Protein Bar,100,M033,Vanillin,2000,17-06-25 19:14:47
P0030,Whey Protein Bar,100,M016,Dextrose,2000,12-06-25 19:14:47
P0030,Whey Protein Bar,100,M025,Soy Lecithin,500,21-06-25 19:14:47
P0031,Chocolate Milk Drink Mini,500,M003,Citric Acid,200,06-06-25 19:14:47
P0031,Chocolate Milk Drink Mini,500,M037,Caramel Color,1000,28-05-25 19:14:47
P0031,Chocolate Milk Drink Mini,500,M024,Ascorbic Acid,500,12-06-25 19:14:47
P0032,Cheese Balls Max,1000,M009,Palm Oil,100,18-06-25 19:14:47
P0032,Cheese Balls Max,1000,M020,Natural Flavors,1000,12-06-25 19:14:47
P0032,Cheese Balls Max,1000,M003,Citric Acid,200,02-06-25 19:14:47
P0033,Energy Drink - Citrus XL,200,M037,Caramel Color,2000,14-06-25 19:14:47
P0033,Energy Drink - Citrus XL,200,M024,Ascorbic Acid,1000,20-06-25 19:14:47
P0033,Energy Drink - Citrus XL,200,M001,Sugar,500,05-06-25 19:14:47
P0034,Classic Salted Wafers Family Pack,5000,M011,Cheddar Cheese,100,26-05-25 19:14:47
P0034,Classic Salted Wafers Family Pack,5000,M007,Vegetable Oil,100,04-06-25 19:14:47
