Row Labels,Sum of Minimum_Qty
M001,500
M002,500
M003,500
M004,500
M005,1000
M006,500
M007,1000
M008,500
M009,500
M010,1000
M011,1000
M012,1000
M013,2500
M014,1000
M015,4500
M016,1000
M017,1000
M018,500
M019,1500
M020,1000
M021,4000
M022,0
M023,0
M024,500
M025,4000
M026,1000
M027,500
M028,500
M029,4000
M030,2500
M031,1000
M032,2000
M033,1500
M034,4500
M035,1000
M036,1000
M037,2500
M038,3500
M039,500
M040,1000
M041,1000
M042,3500
M043,1500
M044,1000
M045,1000
M046,500
M047,2500
M048,3000
M049,500
M050,500
M051,1000
M052,2000
M053,4000
M054,1000
M055,1000
M056,500
M057,0
M058,500
M059,500
M060,1000
M061,1500
M062,2000
M063,1500
M064,500
M065,1500
M066,1000
M067,3500
M068,500
M069,1500
M070,3000
M071,2500
M072,0
M073,500
M074,1000
M075,1000
M076,500
M077,500
M078,2000
M079,1000
M080,500
M081,1500
M082,3500
M083,2500
M084,1000
M085,1000
M086,3000
M087,1000
M088,2000
M089,500
M090,500
M091,2000
M092,500
M093,500
M094,500
M095,1000
M096,3500
M097,4000
M098,500
M099,4000
M100,500
M101,1000
M102,1000
M103,1000
M104,1000
M105,500
M106,1500
M107,1500
M108,2000
M109,500
M110,500
M111,500
M112,500
M113,500
M114,1500
M115,2000
M116,1000
M117,1500
M118,1500
M119,500
M120,500
M121,2000
M122,1000
M123,500
M124,1500
M125,4000
M126,500
M127,500
M128,1000
M129,500
M130,1500
M131,1500
M132,2000
M133,500
M134,1500
M135,3000
M136,3000
M137,500
M138,3500
M139,3000
M140,1000
M141,500
M142,0
M143,3000
M144,2000
M145,500
M146,1000
M147,3000
M148,500
M149,1000
M150,1000
M151,2500
M152,1000
M153,500
M154,2000
M155,500
M156,2500
M157,1500
M158,1500
M159,1000
M160,1000
M161,500
M162,500
M163,2500
M164,1000
M165,1000
M166,500
M167,0
M168,2500
M169,3500
M170,1000
M171,0
M172,3500
M173,3500
M174,1500
M175,1000
M176,2000
M177,0
M178,500
M179,1500
M180,0
M181,2000
M182,1500
M183,0
M184,500
M185,500
M186,3500
M187,500
M188,1000
M189,500
M190,500
M191,0
M192,0
M193,3000
M194,500
M195,3500
M196,3000
M197,1000
M198,2000
M199,500
M200,1500
M201,500
M202,3500
M203,1500
M204,1500
M205,3000
M206,500
M207,2000
M208,500
M209,4500
M210,2000
M211,1500
M212,0
M213,2500
M214,2000
M215,500
M216,0
M217,2000
M218,500
M219,0
M220,2000
M221,1500
M222,1000
M223,500
M224,4000
M225,1500
M226,500
M227,2000
M228,500
M229,2500
M230,4500
M231,2000
M232,1500
M233,1000
M234,500
M235,500
M236,2000
M237,500
M238,1000
M239,2000
M240,1000
M241,1500
M242,3000
M243,500
M244,0
M245,3000
M246,0
M247,0
M248,500
M249,1500
M250,4500
M251,2500
M252,1000
M253,0
M254,1000
M255,4500
M256,2500
M257,2000
M258,3000
M259,2500
M260,1000
M261,2000
M262,2000
M263,2000
M264,2500
M265,2500
M266,2000
M267,2500
M268,4000
M269,3000
M270,500
M271,500
M272,1500
M273,0
M274,1500
M275,500
M276,1000
M277,500
M278,1000
M279,1000
M280,1500
M281,0
M282,2500
M283,1500
M284,3000
M285,1000
M286,500
M287,1000
M288,1000
M289,1500
M290,2500
M291,2000
M292,1500
M293,4000
M294,4000
M295,500
M296,1500
M297,3000
M298,1000
M299,1000
M300,2000
M301,3500
M302,1500
M303,1000
M304,500
M305,1000
M306,1500
M307,1000
M308,0
M309,500
M310,3000
M311,1500
M312,0
M313,500
M314,0
M315,500
M316,1000
M317,2500
M318,1500
M319,500
M320,0
M321,2000
M322,1500
M323,0
M324,500
M325,2500
M326,3000
M327,500
M328,1000
M329,4000
M330,3500
M331,2000
M332,1500
M333,2000
M334,1000
M335,2500
M336,1500
M337,1000
M338,500
M339,500
M340,1500
M341,1500
M342,500
M343,1500
M344,1000
M345,3000
M346,0
M347,1500
M348,1500
M349,1500
M350,1500
M351,1000
M352,1500
M353,2000
M354,1000
M355,1500
M356,500
M357,1000
M358,500
M359,500
M360,1500
M361,1500
M362,1000
M363,500
M364,1500
M365,0
M366,3000
M367,500
M368,500
M369,500
M370,500
M371,3000
M372,500
M373,0
M374,1000
M375,500
M376,500
M377,500
M378,2000
M379,2500
M380,1500
M381,1000
M382,500
M383,0
M384,2000
M385,2500
M386,1500
M387,1500
M388,1500
M389,500
M390,0
M391,3000
M392,500
M393,1000
M394,500
M395,500
M396,500
M397,500
M398,3000
M399,1500
M400,500
M401,500
M402,500
M403,1000
M404,500
M405,0
M406,500
M407,3000
M408,0
M409,500
M410,500
M411,500
M412,2000
M413,1500
M414,0
M415,1000
M416,500
M417,1500
M418,2500
M419,4500
M420,500
M421,3000
M422,1000
M423,2500
M424,500
M425,2500
M426,500
M427,1500
M428,1000
M429,2000
M430,3500
M431,4500
M432,1000
M433,1000
M434,1000
M435,1000
M436,0
M437,1000
M438,500
M439,2000
M440,0
M441,1500
M442,3500
M443,2500
M444,2000
M445,500
M446,2000
M447,500
M448,1500
M449,2500
M450,4500
M451,500
M452,500
M453,2000
M454,4000
M455,1500
M456,0
M457,500
M458,500
M459,500
M460,0
M461,500
M462,1500
M463,3000
M464,0
M465,1500
M466,1500
M467,2000
M468,1000
M469,2000
M470,500
M471,1500
M472,1000
M473,2500
M474,2000
M475,1500
M476,500
M477,1000
M478,500
M479,3000
M480,1500
M481,2000
M482,1000
M483,0
M484,500
M485,1000
M486,4500
M487,1000
M488,2500
M489,500
M490,1500
M491,1500
M492,2000
M493,1500
M494,1000
M495,0
M496,4000
M497,0
M498,500
M499,2000
M500,500
Grand Total,698000
