Supplier_ID,Supplier_Name,Material_ID,Material_Name,OnTime_Delivery_Percentage,Quality_Score,Average_Price_Deviation,Fulfilled_Order_Count,Complaint_Count,Lead_Days,Discount_Offer_Percentage,Create_Datetime
S001,Supplier_S001,M059,Sunflower Oil,95.99,3.3,-2.84,817,7,9,9.71,23-06-25 19:47:57
S001,Supplier_S001,M233,Vegetable Oil,87.58,4,4.74,80,2,8,8.53,23-06-25 19:47:57
S001,Supplier_S001,M300,Onion Powder,86.8,5,-7.81,298,0,3,12.95,23-06-25 19:47:57
S002,Supplier_S002,M182,Garlic Powder,78.31,4.3,9.04,677,9,3,4.5,23-06-25 19:47:57
S002,Supplier_S002,M282,Glucono Delta Lactone,88.04,3,7.64,294,19,10,16.73,23-06-25 19:47:57
S002,Supplier_S002,M327,Pectin,81.83,4.6,3.93,110,14,7,7.22,23-06-25 19:47:57
S002,Supplier_S002,M378,Milk Solids,96.62,3.1,3.63,706,3,6,11.21,23-06-25 19:47:57
S002,Supplier_S002,M440,Fumaric Acid,97.57,3.7,6.85,821,9,6,18.39,23-06-25 19:47:57
S003,Supplier_S003,M104,Dextrose,84.82,4.9,7.02,489,8,3,24.26,23-06-25 19:47:57
S003,Supplier_S003,M181,Garlic Powder,81.29,3.7,-4.96,487,9,10,15.62,23-06-25 19:47:57
S003,Supplier_S003,M236,Corn Syrup,90.49,4.8,-0.02,214,7,3,26.18,23-06-25 19:47:57
S003,Supplier_S003,M368,Whey Protein,96.71,4.8,2.63,910,20,6,23.68,23-06-25 19:47:57
S003,Supplier_S003,M415,Dextrose,88.4,3.6,4.36,249,15,5,1.1,23-06-25 19:47:57
S003,Supplier_S003,M439,Sugar,92.29,3.8,8.07,221,4,3,9.29,23-06-25 19:47:57
S004,Supplier_S004,M055,Ascorbic Acid,73.71,3.7,4.98,278,18,6,24.67,23-06-25 19:47:57
S004,Supplier_S004,M205,Potatoes,74.83,3.6,-4.99,869,1,4,6.12,23-06-25 19:47:57
S004,Supplier_S004,M268,Tapioca Starch,86.14,3.4,0.47,274,17,7,18.69,23-06-25 19:47:57
S004,Supplier_S004,M293,Paprika Extract,91.13,3.6,-5.1,82,9,9,26.77,23-06-25 19:47:57
S004,Supplier_S004,M306,Acetic Acid,88.11,4.8,4.78,684,14,5,24.24,23-06-25 19:47:57
S004,Supplier_S004,M345,Sunflower Oil,85.1,4.7,5.9,582,19,8,25.38,23-06-25 19:47:57
S004,Supplier_S004,M387,Yeast Extract,73.36,3,9.41,889,0,3,14.43,23-06-25 19:47:57
S004,Supplier_S004,M423,Palm Oil,91.4,4.2,6.82,936,18,2,19.12,23-06-25 19:47:57
S005,Supplier_S005,M008,Sunflower Oil,96.36,4.7,-3.85,69,7,9,28.41,23-06-25 19:47:57
S005,Supplier_S005,M075,Tapioca Starch,96.51,3.1,-3.26,794,19,2,17.92,23-06-25 19:47:57
S005,Supplier_S005,M112,Soy Lecithin,93.28,3.3,9.87,249,18,5,17.32,23-06-25 19:47:57
S005,Supplier_S005,M120,Modified Starch,85.73,3.5,2.4,268,11,4,23.85,23-06-25 19:47:57
S005,Supplier_S005,M219,Monosodium Glutamate,88.95,4.6,1.58,797,18,3,27.19,23-06-25 19:47:57
S005,Supplier_S005,M256,Corn,79.68,4.3,-7.79,545,2,0,25.06,23-06-25 19:47:57
S005,Supplier_S005,M346,Tapioca Starch,80.45,4.4,-7.22,462,19,8,22.91,23-06-25 19:47:57
S005,Supplier_S005,M407,Yeast Extract,95.17,4.2,-8.31,556,19,5,12.05,23-06-25 19:47:57
S005,Supplier_S005,M410,Onion Powder,86.62,4.2,-7.97,791,17,10,23.56,23-06-25 19:47:57
S006,Supplier_S006,M052,Palm Oil,75.7,3.5,5.11,795,4,10,2.91,23-06-25 19:47:57
S006,Supplier_S006,M095,Annatto Extract,85.16,4.9,-5.7,371,1,0,8.44,23-06-25 19:47:57
S006,Supplier_S006,M334,Onion Powder,89.67,4.6,-0.28,691,16,8,13.36,23-06-25 19:47:57
S006,Supplier_S006,M417,Tapioca Starch,82.21,3.2,0.37,517,11,8,22.77,23-06-25 19:47:57
S006,Supplier_S006,M454,Maltodextrin,86.59,3.4,-2.39,323,14,4,11.25,23-06-25 19:47:57
S007,Supplier_S007,M001,Sugar,78.25,3.4,4.73,702,17,1,17.71,23-06-25 19:47:57
S007,Supplier_S007,M031,Monosodium Glutamate,90.72,4.3,-7.96,801,9,10,18.01,23-06-25 19:47:57
S007,Supplier_S007,M211,Fumaric Acid,81.25,4.6,-1.09,54,9,10,5.78,23-06-25 19:47:57
S007,Supplier_S007,M358,Milk Solids,71.97,3.6,-3.25,30,17,5,1.12,23-06-25 19:47:57
S007,Supplier_S007,M481,Pectin,89.21,3.7,-3.33,289,4,3,8.21,23-06-25 19:47:57
S008,Supplier_S008,M061,Barley Malt Extract,88.99,4.1,-3.5,621,16,4,13.61,23-06-25 19:47:57
S008,Supplier_S008,M065,Lactic Acid,91.08,3.6,-3.2,16,5,2,16.99,23-06-25 19:47:57
S008,Supplier_S008,M079,Potatoes,97.52,3.9,6.62,787,15,7,18.46,23-06-25 19:47:57
S008,Supplier_S008,M092,Brown Sugar,71.36,4.3,1.54,676,6,9,12.5,23-06-25 19:47:57
S008,Supplier_S008,M125,Sunflower Oil,91.39,3.2,-6.92,738,20,2,22.19,23-06-25 19:47:57
S008,Supplier_S008,M135,Glucono Delta Lactone,92.57,4.6,-8.75,114,17,2,10.97,23-06-25 19:47:57
S008,Supplier_S008,M274,Aspartame,94.65,4.3,4.77,165,6,1,3.95,23-06-25 19:47:57
S008,Supplier_S008,M364,Vegetable Oil,71.66,4.8,-3.72,315,2,6,26.9,23-06-25 19:47:57
S008,Supplier_S008,M414,Baking Powder,80.74,3.4,5.36,723,0,1,13.88,23-06-25 19:47:57
S009,Supplier_S009,M119,Sodium Bicarbonate,88.92,3.1,-6.98,233,16,7,11.2,23-06-25 19:47:57
S009,Supplier_S009,M257,Cocoa Powder,85.77,4.4,-4.88,385,7,9,21.54,23-06-25 19:47:57
S009,Supplier_S009,M303,Garlic Powder,84.5,3.7,1.61,994,2,2,21.91,23-06-25 19:47:57
S009,Supplier_S009,M392,Acesulfame K,77.73,3.7,-2.9,57,17,4,26.89,23-06-25 19:47:57
S009,Supplier_S009,M403,Palm Oil,81.09,3.6,0.46,130,11,4,29.73,23-06-25 19:47:57
S009,Supplier_S009,M437,Glucono Delta Lactone,97.41,4.1,-2.18,400,6,6,1.91,23-06-25 19:47:57
S009,Supplier_S009,M478,Sucrose,89.74,3.5,-9.08,978,16,4,19.77,23-06-25 19:47:57
S010,Supplier_S010,M056,Cheddar Cheese,81.13,4.9,3.93,563,13,9,22.27,23-06-25 19:47:57
S010,Supplier_S010,M104,Dextrose,87.04,3.2,9.66,301,14,10,16.3,23-06-25 19:47:57
S010,Supplier_S010,M303,Garlic Powder,85.79,4.7,5.01,296,14,8,2.35,23-06-25 19:47:57
S010,Supplier_S010,M389,Dextrose,84.58,4.2,2.23,704,15,3,21.43,23-06-25 19:47:57
S011,Supplier_S011,M032,Annatto Extract,82.6,4,-1.33,380,20,7,21.22,23-06-25 19:47:57
S011,Supplier_S011,M175,Milk Solids,72.35,4.4,-5.96,852,20,2,25.02,23-06-25 19:47:57
S011,Supplier_S011,M208,Palm Oil,97.86,4.2,5.47,650,19,10,9.03,23-06-25 19:47:57
S012,Supplier_S012,M037,Caramel Color,70.37,3.6,-0.43,358,5,0,7.57,23-06-25 19:47:57
S012,Supplier_S012,M056,Cheddar Cheese,79.13,4,-8.06,918,17,2,11.66,23-06-25 19:47:57
S012,Supplier_S012,M082,Soy Lecithin,99.43,3.5,-9.68,817,2,5,7.23,23-06-25 19:47:57
S012,Supplier_S012,M348,Sucralose,97.04,3.4,-2.97,102,4,4,28.46,23-06-25 19:47:57
S012,Supplier_S012,M384,Sodium Citrate,73.23,3.8,-8.11,686,18,4,10.66,23-06-25 19:47:57
S012,Supplier_S012,M385,Palm Oil,96.3,3.6,1.74,475,14,9,24.24,23-06-25 19:47:57
S012,Supplier_S012,M443,Tapioca Starch,81.98,3.4,-9.24,266,3,2,9.81,23-06-25 19:47:57
S012,Supplier_S012,M497,Annatto Extract,75.75,4.1,-4.95,908,17,5,26.85,23-06-25 19:47:57
S013,Supplier_S013,M012,Tomato Powder,99.98,4.7,9.38,958,7,2,12.19,23-06-25 19:47:57
S013,Supplier_S013,M094,Natural Flavors,91.63,3.4,-6.81,537,14,7,26.37,23-06-25 19:47:57
S013,Supplier_S013,M172,Cocoa Powder,89.15,5,-0.53,128,9,6,14.13,23-06-25 19:47:57
S013,Supplier_S013,M190,Caramel Color,73.71,3.5,4.04,220,20,0,9.03,23-06-25 19:47:57
S013,Supplier_S013,M380,Potatoes,81.44,3.8,-6.44,998,12,1,0.62,23-06-25 19:47:57
S013,Supplier_S013,M393,Monosodium Glutamate,88.29,4.7,-7.96,585,1,8,3.16,23-06-25 19:47:57
S013,Supplier_S013,M418,Natural Flavors,97.55,4.1,-3.68,411,6,5,2.45,23-06-25 19:47:57
